# Surf       	Type        	Radius        	Thickness          n_d (at 0.587562 µm)   V_d (Abbe number)        	Diameter 
   0	 0	       inf     	    10.0          1.0000000000	      -1.0        0	     	 
   1	 0	       inf     	     1.3	         1.0000000000	      -1.0      7.083338	 
   2	 0	       17.357	        2.604        1.4875000000	      -1.0       6.967873	 
   3	 0	      -21.745	        0.2	         1.0000000000	      -1.0       6.608087	 
   4	 1	        5.976	        2.638	      1.5481000000	      -1.0        6.05893	 
   5	 0	        3.063	        1.831	      1.0000000000	      -1.0       4.250101	 
   6	 0	       -3.015	        3.903	      1.6727000000	      -1.0       4.240097	 
   7	 0	       18.745	        2.936	      1.4875000000	      -1.0       7.694302	 
   8	 0	       -5.878	        0.2	         1.0000000000	      -1.0       8.367573	 
   9	 0	       59.187	        0.7	         1.6134000000	      -1.0       9.199377	 
  10	 0	        8.388	        2.525	      1.4370000000	      -1.0       9.553824	 
  11	 0	      -17.329	        0.2	         1.0000000000	      -1.0       9.690769	 
  12	 0	       12.834	        1.958	      1.4370000000	      -1.0       10.33298	 
  13	 0	      -30.459	        0.2	         1.0000000000	      -1.0       10.30969	 
  14	 0	       10.766	        1.952	      1.4875000000	      -1.0        9.88191	 
  15	 0	      -26.599	        0.2	         1.0000000000	      -1.0       9.735929	 
  16	 0	        4.311	        2.150	      1.5638000000	      -1.0       7.139599	 
  17	 0	        6.003	        4.665   	   1.0000000000	      -1.0        5.68087	 
  18	 0	       inf     	     0.0          1.0000000000	      -1.0      0.3189437	  
