# Surface	 Stop flag	Radius of curvature (mm)	Thickness (mm)	Refractive index n_d	Abbe number V_d
1	0	1.00E+10	2.37E+03	1		    1.00E+10
2	0	72.296		14		    1.568729	6.31E+01
3	0	767.817		5		    1		    1.00E+10
4	0	122.225		15.813		1.5168		6.42E+01
5	0	-123.616	2.463		1		    1.00E+10
6	0	-96.506		4.185		1.80518		2.55E+01
7	0	217.183		18.884		1		    1.00E+10
8	1	1.00E+10	10.326		1		    1.00E+10
9	0	-95.2635	7.985		1.80518		2.55E+10
10	0	-73.707		11.816		1		    1.00E+10
11	0	-49.362		4		    1.72		4.36E+01
12	0	-13.6193	13.9336		1		    1.00E+10
13	0	61.246		1		    1.57957		5.37E+01
14	0	40.008		76.299		1		    1.00E+10

