# Surface	 Stop flag	Radius of curvature (mm)	Thickness (mm)	Refractive index n_d	Abbe number V_d    Clear Diameter
1    0      1.00E+10    96.043      1.000000     1.00E+10    0.0
2    0      1410.751    13.279      1.50850      1.00E+10    0.0
3    0      286.107     4.853       1.000000     1.00E+10    0.0
4    0      363.441     23.16       1.50850      1.00E+10    0.0
5    0      -572.117    1.742       1.000000     1.00E+10    0.0
6    0      340.506     22.423      1.50850      1.00E+10    0.0
7    0      -889.282    1.181       1.000000     1.00E+10    0.0
8    0      297.190     21.855      1.50850      1.00E+10    0.0
9    0      -816.455    0.445       1.000000     1.00E+10    0.0
10   0      254.111     32.13       1.50850      1.00E+10    0.0
11   0      122.93      18.432      1.000000     1.00E+10    0.0
12   0      484.465     11.968      1.50850      1.00E+10    0.0
13   0      138.856     28.315      1.000000     1.00E+10    0.0
14   0      -265.568    16.192      1.50850      1.00E+10    0.0
15   0      286.107     25.171      1.000000     1.00E+10    0.0
16   0      -153.12     19.246      1.50850      1.00E+10    0.0
17   0      2955.373    15.968      1.000000     1.00E+10    0.0
18   0      -274.463    22.234      1.50850      1.00E+10    0.0
19   0      -169.454    11.188      1.000000     1.00E+10    0.0
20   0      -131.939    19.889      1.50850      1.00E+10    0.0
21   0      -183.868    1.711       1.000000     1.00E+10    0.0
22   0      -384.358    35.921      1.50850      1.00E+10    0.0
23   0      -190.941    1.841       1.000000     1.00E+10    0.0
24   0      733.657     39.268      1.50850      1.00e+10    0.0
25   0      -493.973    4.165       1.000000     1.00e+10    0.0
26   0      620.058     39.286      1.50850      1.00e+10    0.0
27   0      -600.217    4.465       1.000000     1.00e+10    0.0
28   0      293.156     39.120      1.50850      1.00e+10    0.0
29   0      2955.239    3.832       1.000000     1.00e+10    0.0
30   0      240.982     34.910      1.50850      1.00e+10    0.0
31   0      2020.255    6.281       1.000000     1.00e+10    0.0
32   0      637.048     26.927      1.50850      1.00e+10    0.0
33   0      135.919     46.422      1.000000     1.00e+10    0.0
34   0      -342.725    13.286      1.50850      1.00e+10    0.0
35   0      234.311     37.570      1.000000     1.00e+10    0.0
36   0      -165.909    12.049      1.50850      1.00e+10    0.0
37   0      -318.645    17.236      1.000000     1.00e+10    0.0
38   0      -159.707    18.219      1.50850      1.00E+10    0.0
39   0      -2087.962   15.068      1.000000     1.00E+10    0.0
40   0      -406.729    26.952      1.50850      1.00E+10    0.0
41   0      -206.783    15.34       1.000000     1.00E+10    0.0
42   0      -2955.521   37.102      1.50850      1.00E+10    0.0
43   0      -266.84     1.5         1.000000     1.00E+10    0.0
44   0      1.00E+11    2.275       1.000000     1.00E+10    0.0
45   0      462.64      49.887      1.50850      1.00E+10    0.0
46   0      -429.95     12.884      1.000000     1.00E+10    0.0
47   0      -278.133    24.017      1.50850      1.00E+10    0.0
48   0      -403.953    15.838      1.000000     1.00E+10    0.0
49   0      290.73      35.669      1.50850      1.00E+10    0.0
50   0      1380.582    2.058       1.000000     1.00E+10    0.0
51   0      243.631     32.809      1.50850      1.00E+10    0.0
52   0      738.201     0.395       1.000000     1.00E+10    0.0
53   1      1.00e+10    0.0         1.000000     1.00e+10    0.0
54   0      166.756     32.066      1.50850      1.00E+10    0.0
55   0      332.971     2.19        1.000000     1.00E+10    0.0
56   0      140.353     30.835      1.50850      1.00E+10    0.0
57   0      248.895     12.467      1.000000     1.00E+10    0.0
58   0      509.92      17.679      1.50850      1.00E+10    0.0
59   0      77.687      30.408      1.000000     1.00E+10    0.0
60   0      79.827      40.069      1.50850      1.00E+10    0.0
61   0      433.159     10.415      1.0000000    1.00E+10    0.0
62   0      inf         0.0         1.000000     1.00E+10    0.0
