# Taken from https://github.com/nzhagen/LensLibrary/blob/main/prescription_files/1998704b.txt
# and modified
# =============================================================================================
# Surf       	Type        	Radius        	Thickness           	n_d  V_d (Abbe value)        	Diameter
   0	0 	          1E+10	            500	 1.003     -1                 0	                     
   1	0 	           43.5	              7	 1.671100  47.300000	      41.76044	             
   2	0 	          94.88	            0.4	 1.003     -1                 39.45865	             
   3	0 	          24.92	           10.6	 1.540000  59.600000	      35.22732	             
   4	0 	         -162.9	            1.4	 1.639800  34.600000	      32.39494	             
   5	0 	           19.1	              6	 1.003     -1                 25.29316	             
   6	1 	          1E+10	            7.2	 1.003     -1                 24.54251	             
   7	0 	        -242.84	              2	 1.464500  65.700000	      26.8223	             
   8	0 	          37.12	           15.1	 1.671100  47.300000	      28.16927	             
   9	0 	         -138.3	       57.67132	 1.003     -1                 29.54366	             
  10	0 	          1E+10	            500  1.003     -1 	              32.71446	             
 
