Surf       	Type        	Radius        	Thickness           	Glass        	Diameter        	Conic        	Comment
   0	      0	       inf	                500	  1.0         -1          	  0	              0	 
   1	      0	       inf	                 10	  1.0         -1              62.78107	              0	 
   2	      0	      -276.9283	        7.65175	 1.622860  60.080000	      59.82593	              0	 
   3	      0	      -65.99372	              7	 1.510450  60.980000	      59.54324	              0	 
   4	      0	      -214.0148	       10.76007	  1.0         -1          	  56.87805	              0	 
   5	      1	       -49.2205	              7	 1.758440  52.100000	      54.77127	              0	 
   6	      0	      -82.85538	           0.15	  1.0         -1          	  61.27304	              0	 
   7	      0	       121.8997	           17.4	 1.530190  67.580000	      67.85588	              0	 
   8	      0	       -78.2061	           0.15	  1.0         -1          	  68.61242	              0	 
   9	      0	       160.1413	           18.7	 1.487940  80.070000	      65.43484	              0	 
  10	      0	      -56.32682	              7	 1.758440  52.100000	      63.69843	              0	 
  11	      0	        76.6279	        2.04381	  1.0         -1          	  62.69046	              0	 
  12	      0	       81.26925	           13.5	 1.530190  67.580000	      63.99762	              0	 
  13	      0	      -179.1018	           0.15	  1.0         -1          	  64.39876	              0	 
  14	      0	       87.89693	           11.1	 1.530190  67.580000	      64.03517	              0	 
  15	      0	       -330.284	       61.02749	  1.0         -1         	  62.99928	              0	 
  16	      0	            inf	           50.0   1.0 	      -1              28.39879	              0	 
