# Surf       	Type        	Radius        	Thickness          n_d (at 0.587562 µm)   V_d (Abbe number)        	Diameter 
   0	 0	       inf     	         10.0          1.0000000000	      -1.0        0	     	 
   1	 0	       inf     	            1.3	     1.0000000000	      -1.0      7.083338	 
   2	 0	       17.35664	        2.60396	     1.4865610802	      -1.0       6.967873	 
   3	 0	      -21.74533	            0.2	     1.0000000000	      -1.0       6.608087	 
   4	 0	        5.97609	        2.63782	     1.5481400960	      -1.0        6.05893	 
   5	 0	        3.06343	        1.83096	     1.0000000000	      -1.0       4.250101	 
   6	 0	       -3.01507	        3.90374	     1.6726974920	      -1.0       4.240097	 
   7	 0	       18.74531	        2.93552	     1.4865610802	      -1.0       7.694302	 
   8	 0	       -5.87789	            0.2	     1.0000000000	      -1.0       8.367573	 
   9	 0	       59.18729	            0.7	     1.6133601948	      -1.0       9.199377	 
  10	 0	        8.38842	        2.52456	     1.4370000012	      -1.0       9.553824	 
  11	 1	      -17.32874	            0.2	     1.0000000000	      -1.0       9.690769	 
  12	 0	       12.83435	        1.95758	     1.4370000012	      -1.0       10.33298	 
  13	 0	      -30.45877	            0.2	     1.0000000000	      -1.0       10.30969	 
  14	 0	       10.76567	        1.95157	     1.4865610802	      -1.0        9.88191	 
  15	 0	      -26.59881	            0.2	     1.0000000000	      -1.0       9.735929	 
  16	 0	        4.31068	        2.15003	     1.5638397368	      -1.0       7.139599	 
  17	 0	        6.00286	       3.806186	     1.0000000000	      -1.0        5.68087	 
  18	 0	       inf     	       10.0            1.0000000000	      -1.0      0.3189437	  
