# Surface	 Stop flag	Radius of curvature (mm)	Thickness (mm)	Refractive index n_d	Abbe number V_d
1    0      1.00E+10    96.043      1.000302     1.00E+10
2    0      1410.751    13.279      1.50839      1.00E+10
3    0      286.107     4.853       1.000302     1.00E+10
4    0      363.441     23.16       1.50839      1.00E+10
5    0      -572.117    1.742       1.000302     1.00E+10
6    0      340.506     22.423      1.50839      1.00E+10
7    0      -889.282    1.181       1.000302     1.00E+10
8    0      297.190     21.855      1.50839      1.00E+10
9    0      -816.455    0.445       1.000302     1.00E+10
10   0      254.111     32.13       1.50839      1.00E+10
11   0      122.93      18.432      1.000302     1.00E+10
12   0      484.465     11.968      1.50839      1.00E+10
13   0      138.856     28.315      1.000302     1.00E+10
14   0      -265.568    16.192      1.50839      1.00E+10
15   0      286.107     25.171      1.000302     1.00E+10
16   0      -153.12     19.246      1.50839      1.00E+10
17   0      2955.373    15.968      1.000302     1.00E+10
18   0      -274.463    22.234      1.50839      1.00E+10
19   0      -169.454    11.188      1.000302     1.00E+10
20   0      -131.939    19.889      1.50839      1.00E+10
21   0      -183.868    1.711       1.000302     1.00E+10
22   0      -384.358    35.921      1.50839      1.00E+10
23   0      -190.941    1.841       1.000302     1.00E+10
24   0      733.657     39.268      1.50839      1.00e+10
25   0      -493.973    4.165       1.000302     1.00e+10
26   0      620.058     39.286      1.50839      1.00e+10
27   0      -600.217    4.465       1.000302     1.00e+10
28   0      293.156     39.120      1.50839      1.00e+10
29   0      2955.239    3.832       1.000302     1.00e+10
30   0      240.982     34.910      1.50839      1.00e+10
31   0      2020.255    6.281       1.000302     1.00e+10
32   0      637.048     26.927      1.50839      1.00e+10
33   0      135.919     46.422      1.000302     1.00e+10
34   0      -342.725    13.286      1.50839      1.00e+10
35   0      234.311     37.570      1.000302     1.00e+10
36   0      -165.909    12.049      1.50839      1.00e+10
37   0      -318.645    17.236      1.000302     1.00e+10
38   0      -159.707    18.219      1.50839      1.00E+10
39   0      -2087.962   15.068      1.000302     1.00E+10
40   0      -406.729    26.952      1.50839      1.00E+10
41   0      -206.783    15.34       1.000302     1.00E+10
42   0      -2955.521   37.102      1.50839      1.00E+10
43   0      -266.84     1.5         1.000302     1.00E+10
44   0      1.00E+11    2.275       1.000302     1.00E+10
45   0      462.64      49.887      1.50839      1.00E+10
46   0      -429.95     12.884      1.000302     1.00E+10
47   0      -278.133    24.017      1.50839      1.00E+10
48   0      -403.953    15.838      1.000302     1.00E+10
49   0      290.73      35.669      1.50839      1.00E+10
50   0      1380.582    2.058       1.000302     1.00E+10
51   0      243.631     32.809      1.50839      1.00E+10
52   0      738.201     0.395       1.000302     1.00E+10
53   1      1.00e+10    0.0         1.000302     1.00e+10
54   0      166.756     32.066      1.50839      1.00E+10
55   0      332.971     2.19        1.000302     1.00E+10
56   0      140.353     30.835      1.50839      1.00E+10
57   0      248.895     12.467      1.000302     1.00E+10
58   0      509.92      17.679      1.50839      1.00E+10
59   0      77.687      30.408      1.000302     1.00E+10
60   0      79.827      40.069      1.50839      1.00E+10
61   0      433.159     22.179      1.0000000    1.00E+10
